,id,quotes,authors
2507,2508,The art of reading and studying consists in remembering the essentials and forgetting what is not essential.,adolf hitler
552,553,"An American monkey, after getting drunk on brandy, would never touch it again, and thus is much wiser than most men.",charles darwin
2487,2488,The great strength of the totalitarian state is that it forces those who fear it to imitate it.,adolf hitler
1590,1591,Education is the most powerful weapon which you can use to change the world.,nelson mandela
2852,2853,"Education is a weapon, whose effect depends on who holds it in his hands and at whom it is aimed.",stalin
1183,1184,"Patience is bitter, but its fruit is sweet.",aristotle
1071,1072,"The aim of art is to represent not the outward appearance of things, but their inward significance.",aristotle
900,901,Knowing yourself is the beginning of all wisdom.,aristotle
455,456,We stopped looking for monsters under our bed when we realized that they were inside us.,charles darwin
2597,2598,The art of reading and studying consists in remembering the essentials and forgetting what is not essential.,adolf hitler
2396,2397,"He who would live must fight. He who doesn't wish to fight in this world, where permanent struggle is the law of life, has not the right to exist.",adolf hitler
522,523,"An American monkey, after getting drunk on brandy, would never touch it again, and thus is much wiser than most men.",charles darwin
2038,2039,"If money is the bond binding me to human life, binding society to me, connecting me with nature and man, is not money the bond of all bonds? Can it not dissolve and bind all ties? Is it not, therefore, also the universal agent of separation?",karl marx
238,239,"Each work has to pass through these stages—ridicule, opposition, and then acceptance. Those who think ahead of their time are sure to be misunderstood.",swami vivekanand
2610,2611,"If you win, you need not have to explain...If you lose, you should not be there to explain!",adolf hitler
997,998,"Excellence is never an accident. It is always the result of high intention, sincere effort, and intelligent execution; it represents the wise choice of many alternatives - choice, not chance, determines your destiny.",aristotle
1397,1398,"You never identify yourself with the shadow cast by your body, or with its reflection, or with the body you see in a dream or in your imagination. Therefore you should not identify yourself with this living body, either.",adi shankaracharya
2412,2413,"He alone, who owns the youth, gains the future.",adolf hitler
2275,2276,"I am not an Athenian or a Greek, but a citizen of the world.As quoted in Plutarch's Of Banishment",socrates
1438,1439,fallacies and not the correct explanations. But here follows a refutation of their reasonings independently of the texts. This is the difference.With regard to this the Sathkhyas,adi shankaracharya
636,637,The heaviest penalty for declining to rule is to be ruled by someone inferior to yourself.,plato
1067,1068,The educated differ from the uneducated as much as the living differ from the dead.,aristotle
2624,2625,Words build bridges into unexplored regions.,adolf hitler
1190,1191,Poverty is the parent of revolution and crime.,aristotle
